Type,Tipo
"Counted by a second person. It can start a drawer, go to the bank, or be unpacked.","Contada por otra persona. Puede recibirse en una caja, enviarse al banco o abrirse."
Counted on,Fecha del conteo
Delivered by,Entregado por
Deposited at the bank,Depositada en el banco
Difference pending review,Diferencia pendiente de revisión
Difference reviewed,Diferencia revisada
Difference to review,Diferencia por revisar
Disputed count,Conteo con diferencia
Drawer deposit movement,Movimiento de salida de caja
Drawer receipt movement,Movimiento de entrada a caja
Final count,Conteo definitivo
Final evidence,Comprobante definitivo
Held for review,Retenida para revisión
Held for supervisor review,Retenida para revisión del supervisor
In the drawer,En la caja
In transit to the bank,En tránsito al banco
Independent verification count,Conteo de verificación independiente
Issued to a drawer,Entregada a una caja
No count of yours is recorded for this bag. Counts by other people are visible to supervisors.,No tienes conteos registrados para esta bolsa. Los supervisores pueden ver los conteos de otras personas.
On the way to the bank,En camino al banco
Opening shift,Apertura de turno
Opens this bag back into loose safe cash. The seal is consumed; a new package needs a new seal.,Abre esta bolsa para disponer del efectivo en la caja fuerte. El sello queda usado; una nueva bolsa necesita otro sello.
Optional. It is printed on the handover slip.,Opcional. Aparece en el comprobante de entrega.
Post the difference and close the review. The counts stay as recorded evidence.,Contabiliza la diferencia y termina la revisión. Los conteos se conservan como comprobantes.
Preparation reserves cash that is already in the safe. It does not create money.,La preparación reserva efectivo que ya está en la caja fuerte.
Prepare bag,Preparar bolsa
Prepared on,Fecha de preparación
Received by,Recibido por
Receiving shift,Turno receptor
Record review,Registrar revisión
Record safe count,Registrar conteo de la caja fuerte
Record verification,Registrar verificación
Records the bag as in transit to the bank. Cash moves from the safe to the transit account until you confirm the bank receipt.,Registra la bolsa en tránsito al banco. El efectivo pasa de la caja fuerte a la cuenta en tránsito hasta confirmar el comprobante bancario.
Records the bank receipt reference. Cash moves from the transit account to the bank account.,Registra la referencia del comprobante. El efectivo pasa de la cuenta en tránsito a la cuenta bancaria.
Required when your count differs from the balance recorded in the ledger.,Obligatorio cuando tu conteo no coincide con el saldo contable.
Required when your count differs from the sealed amount.,Obligatorio cuando tu conteo no coincide con el importe de la bolsa.
Return bag,Devolver bolsa
Return to safe cash,Devolver al efectivo disponible
Returned to loose safe cash,Devuelta al efectivo disponible
Review decision and reason,Decisión de revisión y motivo
Reviewed by,Revisado por
Safe count,Conteo de caja fuerte
Saved draft,Borrador guardado
Saved draft count,Borrador de conteo guardado
The bag comes back to the safe and must be verified again before it moves.,La bolsa regresa a la caja fuerte y debe verificarse de nuevo antes de moverla.
The bag left for the bank. Record the bank receipt once the deposit is done.,La bolsa salió al banco. Registra el comprobante cuando se realice el depósito.
The bank receipt is recorded. This bag is closed evidence.,El comprobante bancario está registrado. Esta bolsa queda como evidencia definitiva.
The cash went back to loose safe funds. This bag is closed evidence.,El efectivo volvió a estar disponible sin embolsar. Esta bolsa queda como evidencia definitiva.
The cashier returns this cash at closing as counted takings.,El cajero devuelve este efectivo contado al cerrar el turno.
The counts did not match. A supervisor recounts or reviews the difference.,Los conteos no coincidieron. Un supervisor debe volver a contar o revisar la diferencia.
The drawer decreases by the counted amount and the sealed bag waits for verification in the safe.,Tu caja disminuye por el importe contado y la bolsa queda en la caja fuerte pendiente de verificación.
The sealed bag is consumed. Its cash returns to unallocated safe funds.,La bolsa se da por terminada. Su efectivo vuelve a estar disponible sin embolsar en la caja fuerte.
The trip failed and the cash is back in the safe. The bag must be verified again before it can leave.,No se pudo realizar el depósito y el efectivo regresó a la caja fuerte. Debe verificarse de nuevo antes de salir.
This cash is in the drawer. It returns to the safe as a sealed bag at closing.,"Este efectivo está en la caja. Al cerrar, se devuelve a la caja fuerte en una bolsa sellada."
This posts transit cash to the bank account with the deposit reference.,Contabiliza el efectivo en tránsito en la cuenta bancaria con la referencia del depósito.
Verified in safe,Verificada en caja fuerte
Why is the bag coming back undeposited?,¿Por qué regresa la bolsa sin depositar?
Why is this cash going back to loose safe funds?,¿Por qué se devuelve este efectivo a los fondos disponibles de la caja fuerte?
Safe balances,Saldos de la caja fuerte
Resolve the unconfirmed cash action before starting another task.,Resuelve la acción de efectivo sin confirmar antes de comenzar otra tarea.
Finish or cancel your current cash action before choosing another.,Termina o cancela la acción de efectivo actual antes de elegir otra.
"The cash action was saved, but the screen could not refresh. Refresh the record; do not move the cash again.","La acción de efectivo se guardó, pero la pantalla no pudo actualizarse. Actualiza el documento; no vuelvas a mover el efectivo."
Enter a whole number of notes or coins.,Captura una cantidad entera de billetes o monedas.
View,Vista
"Open the empty drawer with zero cash. Next, receive and count its float bag in Cash custody; that receipt records the starting funds.","Abre la caja vacía con cero efectivo. Después, cuenta y recibe su bolsa de fondo en Custodia de efectivo; esa recepción registra el fondo inicial."
"Float bags, safe handovers and cash counts","Fondos, entregas a caja fuerte y conteos de efectivo"
Print handover,Imprimir comprobante de entrega
Print bag label,Imprimir etiqueta de bolsa
Checking this drawer count with the register…,Verificando este conteo con la caja…
Discard the unsent form,Descartar el formulario sin enviar
Keep my count and save it over that version,Conservar mi conteo y guardarlo sobre esa versión
Keep my count as a new count,Conservar mi conteo como uno nuevo
Keeping your count starts a new count. Nothing already recorded is overwritten.,Al conservar tu conteo se inicia uno nuevo. No se reemplaza lo ya registrado.
Load the register's count,Cargar el conteo guardado en la caja
Loading replaces the count and note on this screen. Your bags stay as they are.,Al cargarlo se reemplazan el conteo y la nota de esta pantalla. Tus bolsas se conservan.
Reconcile this drawer count with the register before closing.,Revisa este conteo contra el guardado en la caja antes de cerrar.
Retry the unconfirmed cash action before choosing how to continue.,Reintenta la operación de efectivo sin confirmar antes de elegir cómo continuar.
"Review both counts, then choose which one to keep. Nothing is sent until you save.",Revisa ambos conteos y elige cuál conservar. No se envía nada hasta que guardes.
The register already holds a saved count for this shift.,La caja ya tiene un conteo guardado para este turno.
The register no longer holds your saved count.,Tu conteo guardado ya no está disponible en la caja.
The register's count,Conteo guardado en la caja
This count was already completed on the register.,Este conteo ya se finalizó en la caja.
This drawer count changed on the register.,El conteo guardado en la caja cambió.
Your count on this screen,Tu conteo en esta pantalla
Your saved count could not be checked with the register. Retry before closing.,No se pudo verificar tu conteo guardado con la caja. Reintenta antes de cerrar.
Your unsent cash form is still saved on this device. It reopens when the custody queue loads again.,Tu formulario de efectivo sin enviar sigue guardado en este dispositivo. Se abrirá cuando vuelva a cargar la lista de custodia.
Your unsent cash form is still saved. It reopens once the unconfirmed cash action is resolved.,Tu formulario de efectivo sin enviar sigue guardado. Se abrirá cuando se resuelva la operación sin confirmar.
Your unsent cash form was restored. Nothing was sent — check it and confirm.,Se recuperó tu formulario de efectivo sin enviar. No se envió nada; revísalo y confirma.
"An unsent cash form was saved on this device, but it no longer matches the cash records. It was not reopened and nothing was sent.","Hay un formulario de efectivo sin enviar guardado en este dispositivo, pero ya no coincide con los registros. No se abrió ni se envió nada."
This browser cannot keep your unsent cash form. Nothing was sent. Finish this action now or write the count down before leaving this screen.,Este navegador no puede guardar tu formulario de efectivo sin enviar. No se envió nada. Termina la operación o anota el conteo antes de salir de esta pantalla.
Discard the damaged saved form,Descartar el formulario guardado dañado
The saved copy of this cash form could not be removed from this browser. Do not send another cash action from this device until a supervisor checks the cash records in Desk.,No se pudo eliminar la copia guardada de este formulario. No envíes otra operación de efectivo desde este dispositivo hasta que un supervisor revise los registros en el escritorio.
The damaged saved cash form could not be removed from this browser. Ask a supervisor to check the cash records in Desk.,No se pudo eliminar el formulario de efectivo dañado. Pide a un supervisor que revise los registros en el escritorio.
Discard the damaged saved cash form before sending a cash action.,Descarta el formulario de efectivo dañado antes de enviar una operación.
"This browser will not release the saved copy of this form, so no cash action was sent and no cash moved. Reopen the browser and try again.",El navegador no permite eliminar la copia guardada de este formulario. No se envió ninguna operación ni se movió efectivo. Vuelve a abrir el navegador e inténtalo de nuevo.
Discard the damaged saved cash form before starting another cash task.,Descarta el formulario de efectivo dañado antes de iniciar otra tarea.
"Copy or discard the unsent cash form kept from before, then start the new task.",Copia o descarta el formulario de efectivo anterior sin enviar y después inicia la nueva tarea.
"An unsent cash form saved on this device could not be read. It was left untouched and no new work is being saved over it. Check the cash records in Desk, then discard it here.",No se pudo leer el formulario de efectivo sin enviar guardado en este dispositivo. Se conservó intacto y no se está reemplazando. Revisa los registros en el escritorio y después descártalo aquí.
All pending work is shown. Completed history here is limited to the most recent records.,Se muestra todo lo pendiente. El historial finalizado de esta pantalla se limita a los registros más recientes.
Open full cash history,Abrir el historial completo de efectivo
Enter a whole number of history rows.,Ingresa un número entero de registros del historial.
Expected drawer cash is above its limit.,El efectivo esperado en caja supera su límite.
Expected in the drawer,Esperado en caja
Suggested return,Devolución sugerida
"This is what the system expects, not a count. Count the cash you actually take out.","Esto es lo que espera el sistema, no un conteo. Cuente el efectivo que realmente retire."
Expected drawer cash is within its limit.,El efectivo esperado en caja está dentro de su límite.
The drawer cash check is unavailable. Nothing was counted or moved.,No se puede consultar el efectivo en caja. No se contó ni se movió nada.
Checking…,Consultando…
The drawer belongs to another register.,La caja pertenece a otro punto de venta.
Bag {0},Bolsa {0}
Open the first one,Abrir el primero
Workspace actions,Acciones del espacio de trabajo
Switch workspace,Cambiar de espacio de trabajo
Workspace,Espacio de trabajo
Receive cash from safe,Recibir efectivo de caja fuerte
Choose a bag or count to see its next step.,Elige una bolsa o un conteo para ver el siguiente paso.
Sealed bag,Bolsa sellada
Float bag,Bolsa de fondo de caja
Bank,Banco
Back to cash queue,Volver a bolsas y conteos
Details and history,Detalles e historial
Catalogue settings,Configuración del catálogo
All categories,Todas las categorías
Choose a category,Elige una categoría
All products,Todos los productos
Saved on this device. Other registers keep their own preferences.,Se guarda en este dispositivo. Las otras cajas conservan sus preferencias.
Start catalogue with,Al abrir el catálogo
Automatic: categories on touchscreens,Automático: categorías en pantallas táctiles
Category boxes on every screen,Cuadros de categorías en todas las pantallas
Products on every screen,Productos en todas las pantallas
Search and barcode scanning show products directly.,La búsqueda y el escaneo muestran los productos directamente.
Product display,Vista de productos
Sync and performance,Sincronización y rendimiento
Category navigation and product display on this device,Categorías y vista de productos en este dispositivo
Registers & shifts,Cajas y turnos
"Review open shifts, cash activity and recovery","Revisa turnos abiertos, movimientos y recuperación"
Review registers and shifts,Revisar cajas y turnos
Daily operation,Operación diaria
See who has an open shift and what needs attention.,Consulta quién tiene un turno abierto y qué necesita atención.
Open my shift,Abrir mi turno
My current shift,Mi turno actual
Open shifts,Turnos abiertos
Need attention,Necesitan atención
Your permitted profiles,Perfiles a los que tienes acceso
Your shifts only,Solo tus turnos
Shifts,Turnos
Shift filter,Filtrar turnos
"Search cashier, profile or shift","Buscar cajero, perfil o turno"
"Cashier, profile or shift","Cajero, perfil o turno"
Could not update shifts. Check the connection and try again.,No se pudieron actualizar los turnos. Revisa la conexión e inténtalo de nuevo.
Loading shifts…,Cargando turnos…
No matching shifts,No hay turnos que coincidan
No shifts need review,No hay turnos pendientes de revisión
No open shifts,No hay turnos abiertos
No closed shifts,No hay turnos cerrados
This list reflects server records. Saved work on other browsers must be checked separately.,Esta lista muestra los registros del servidor. Revisa por separado el trabajo guardado en otros navegadores.
View open shifts,Ver turnos abiertos
Recovery review,Revisar recuperación
From an earlier day,De un día anterior
Load more shifts,Cargar más turnos
Back to shifts,Volver a los turnos
A clear view of each shift,"Cada turno, a la vista"
Choose a shift to review its cash activity and next step.,Elige un turno para revisar sus movimientos y el siguiente paso.
Shifts are grouped by POS profile; a profile may be shared by several cashiers.,Los turnos se agrupan por perfil de punto de venta; varios cajeros pueden compartir un perfil.
Loading shift details…,Cargando detalle del turno…
This shift could not be loaded. Refresh or check your access.,No se pudo cargar este turno. Actualiza o revisa tus permisos.
Closed at,Cerrado el
Review before closing,Revisar antes de cerrar
"This shift started on an earlier day. Check saved sales, cash movements and the count before closing.","Este turno empezó en un día anterior. Revisa las ventas guardadas, los movimientos de efectivo y el conteo antes de cerrar."
Resume sale,Volver a vender
Count and close shift,Contar y cerrar turno
Sales and cash actions stay with this shift's cashier and authorized browser.,Las ventas y los movimientos de efectivo corresponden al cajero de este turno y a su navegador autorizado.
Cash and tenders,Efectivo y formas de pago
Expected amounts are hidden by this profile's blind-count policy.,La política de conteo ciego de este perfil oculta los importes esperados.
Server expected amounts. Unsynced work is not included.,Importes esperados según el servidor. No incluyen trabajo sin sincronizar.
No tender activity recorded.,No hay actividad registrada en las formas de pago.
Recent submitted cash movements,Últimos movimientos de efectivo confirmados
Up to 20 most recently updated movements for this shift.,Hasta 20 de los movimientos actualizados más recientemente en este turno.
No submitted cash movements recorded.,No hay movimientos de efectivo confirmados.
Review browser access,Revisar acceso del navegador
Open closing record,Abrir registro de cierre
Site time,Hora del sitio
Closed history,Historial de cierres
Sign in to review shifts.,Inicia sesión para revisar turnos.
Site signing key is not configured.,No se ha configurado la clave de firma del sitio.
This shift list has expired. Refresh it to continue.,Esta lista de turnos venció. Actualiza para continuar.
"Choose open shifts, attention, or closed history.","Elige turnos abiertos, pendientes de atención o historial de cierres."
This shift is unavailable or outside your access.,Este turno no está disponible o no tienes acceso a él.
Cash movements,Movimientos de efectivo
You,Tú
Ask a POS supervisor to review the previous browser and authorize this one from Offline Status. Then return here and check again.,Pide a un supervisor de caja que revise el navegador anterior y autorice este desde Estado sin conexión. Después vuelve aquí y verifica de nuevo.
Retry to reload this list. Your saved work has not been changed.,Vuelve a intentar para cargar esta lista. Tu trabajo guardado no se ha modificado.
Selected draft,Borrador seleccionado
Select a draft to continue,Selecciona un borrador para continuar
Back to Taller,Volver a Taller
Taller charge,Cobro de Taller
This register does not accept Taller charge requests. Return to the order or choose its assigned register.,Esta caja no admite solicitudes de cobro de Taller. Vuelve a la orden o elige la caja asignada.
This register does not accept Taller charge requests.,Esta caja no admite solicitudes de cobro de Taller.
Taller order,Orden de Taller
Select its request to collect payment.,Selecciona su solicitud para cobrar.
Show all charges,Ver todos los cobros
"No pending charge for this order at this register. If already paid, return to Taller and refresh payment; otherwise check the request and assigned register.","No hay un cobro pendiente de esta orden en esta caja. Si ya se cobró, vuelve a Taller y actualiza el cobro; si no, revisa la solicitud y la caja asignada."
Save or finish the current sale before loading the Taller charge.,Guarda o termina la venta actual antes de cargar el cobro de Taller.
"Receive a float, return cash, and follow every bag to its next custodian.","Recibe el fondo, entrega el efectivo y sigue cada bolsa hasta su siguiente responsable."
Cash bags,Bolsas de efectivo
Check the seal before opening. A count that differs is recorded as a difference for supervisor review.,"Revisa el sello antes de abrir. Si el conteo no coincide, se registra la diferencia para revisión del supervisor."
Print bag label / handover,Imprimir etiqueta o entrega de bolsa
An unsent cash form saved on this device could not be read. It was left untouched — check the cash records in Desk before repeating a cash action.,No se pudo leer un formulario de efectivo sin enviar guardado en este dispositivo. Se conservó intacto; revisa los registros de efectivo en el escritorio antes de repetir una operación.
A handover note is required for a blind count or when counted cash differs from the expected amount.,Agrega una nota de entrega para un conteo ciego o cuando el efectivo contado difiera del esperado.
Enable cash movements and cash deposits on the POS Profile before enabling cash custody.,Activa los movimientos y depósitos de efectivo en el perfil POS antes de habilitar la custodia.
Set the POS Profile cash movement maximum to zero before enabling cash custody; closing must transfer the complete drawer count.,Establece el máximo por movimiento de efectivo en cero antes de habilitar la custodia; el cierre debe transferir todo el efectivo contado.
The drawer account must match the cash Mode of Payment account for this company.,La cuenta del cajón debe coincidir con la cuenta de la forma de pago en efectivo de esta empresa.
This bag seal is already used on this site. Choose a new seal.,Este sello de bolsa ya se utilizó en el sitio. Elige un sello nuevo.
Return to clinic,Volver a Clínica
Open the clinic register named in the balance request before collecting.,Abra la caja de la clínica indicada en la solicitud de saldo antes de cobrar.
This clinic balance changed. Return to the clinic and refresh it.,El saldo de la clínica cambió. Vuelva a Clínica y actualícelo.
This clinic balance is not available to this register.,El saldo de la clínica no está disponible para esta caja.
A POS Profile is listed twice.,Un perfil POS aparece dos veces.
A cashless caja opens without cash.,Una caja sin efectivo se abre sin efectivo.
A routing change is waiting for the next opening. The open shift keeps its current drawer.,Hay un cambio de cuenta pendiente para la próxima apertura. El turno abierto conserva su cajón actual.
A store is a physical location with its own cajas. It is not created from a warehouse or profile name.,Una tienda es un lugar físico con sus propias cajas. No se crea a partir del nombre de un almacén o perfil.
A warehouse is listed twice.,Un almacén aparece dos veces.
Acknowledge that the previous device may hold unsynced work.,Confirma que el dispositivo anterior puede tener trabajo sin sincronizar.
Acknowledge that this device may hold unsynced work.,Confirma que este dispositivo puede tener trabajo sin sincronizar.
Activate caja,Activar caja
Add a permitted POS Profile to the store first.,Primero agrega un perfil POS permitido a la tienda.
Add caja,Agregar caja
Add permitted warehouses and POS Profiles to the store in Desk before adding cajas.,Agrega en Desk los almacenes y perfiles POS permitidos de la tienda antes de agregar cajas.
Add this POS Profile to the store's permitted profiles.,Agrega este perfil POS a los perfiles permitidos de la tienda.
An opening balance uses a payment method this caja does not accept.,Un saldo de apertura usa una forma de pago que esta caja no acepta.
"Another drawer, safe or payment method already uses this cash account","Otro cajón, caja fuerte o forma de pago ya usa esta cuenta de efectivo"
"Another drawer, safe or payment method already uses this cash account.","Otro cajón, caja fuerte o forma de pago ya usa esta cuenta de efectivo."
Another supervisor must approve a route you configured.,Otro supervisor debe aprobar una cuenta que tú configuraste.
Approve route change,Aprobar cambio de cuenta
Approve the drawer route change,Aprobar el cambio de cuenta del cajón
Ask a supervisor for help,Pide ayuda a un supervisor
Ask another supervisor to change your own access.,Pide a otro supervisor que cambie tu propio acceso.
Ask the store administrator.,Consulta al administrador de la tienda.
Available to open,Disponible para abrir
Back to cajas,Volver a cajas
Before this caja can open,Antes de poder abrir esta caja
Business day,Día operativo
Business day starts at,El día operativo empieza a las
Caja details,Detalle de la caja
Caja filter,Filtrar cajas
Caja tablet,Tableta de caja
Cajas,Cajas
Cashless,Sin efectivo
"Cashless (cards, transfers, orders)","Sin efectivo (tarjetas, transferencias, pedidos)"
Change pending,Cambio pendiente
Change the register lifecycle from the Cajas workspace.,Cambia el estado de la caja desde Cajas y turnos.
Check code,Verificar código
Choose Cash or Cashless.,Elige efectivo o sin efectivo.
"Choose a caja to see who is responsible, its device and what it needs next.","Elige una caja para ver quién es responsable, su dispositivo y qué necesita."
Choose a capability bundle.,Elige un conjunto de permisos.
Choose a profile,Elige un perfil
Choose an enabled POS Profile,Elige un perfil POS habilitado
Choose an enabled POS Profile.,Elige un perfil POS habilitado.
Choose an existing company.,Elige una empresa existente.
Choose an existing store.,Elige una tienda existente.
Choose connect or replace.,Elige conectar o reemplazar.
Choose store or company scope.,Elige alcance de tienda o de empresa.
Choose the drawer's own cash account.,Elige la cuenta de efectivo propia del cajón.
Choose this drawer's own account,Elige la cuenta propia de este cajón
Company and store code cannot change after the store has activity.,La empresa y el código de tienda no pueden cambiar después de que la tienda tenga actividad.
Confirm,Confirmar
Confirm and connect,Confirmar y conectar
Confirm your password to authorize this recovery.,Confirma tu contraseña para autorizar esta recuperación.
Connect device,Conectar dispositivo
Connect this caja's device.,Conecta el dispositivo de esta caja.
Connect this device with a code,Conectar este dispositivo con un código
Connected,Conectada
Connection code for,Código de conexión para
Connection code from your supervisor,Código de conexión de tu supervisor
Contact unknown,Contacto desconocido
Create store,Crear tienda
Create the first store,Crear la primera tienda
Default safe (optional),Caja fuerte predeterminada (opcional)
Device,Dispositivo
Device name,Nombre del dispositivo
Disable the grant instead; grant history is retained.,Desactiva el permiso; el historial de permisos se conserva.
Drawer account,Cuenta del cajón
Drawer cash account,Cuenta de efectivo del cajón
Each caja has its own drawer,Cada caja tiene su propio cajón
"Each cash caja needs its own ledger account. Accounts already used by another drawer, safe or payment method are unavailable.","Cada caja con efectivo necesita su propia cuenta contable. Las cuentas que ya usa otro cajón, caja fuerte o forma de pago no están disponibles."
Edit caja setup,Editar configuración de la caja
Edit setup,Editar configuración
"Enter it on the caja's device from “Open my shift”. Valid once, until","Captúralo en el dispositivo de la caja desde “Abrir mi turno”. Sirve una sola vez, hasta"
Every permitted POS Profile must belong to the store company.,Cada perfil POS permitido debe pertenecer a la empresa de la tienda.
Every permitted warehouse must belong to the store company.,Cada almacén permitido debe pertenecer a la empresa de la tienda.
Fix setup,Corregir configuración
In setup,En configuración
Invalid opening balances.,Saldos de apertura no válidos.
Invalid request data.,Datos de solicitud no válidos.
Keep using this profile's current single drawer until shared safes are enabled.,Sigue usando el cajón único actual de este perfil hasta que se habiliten las cajas fuertes compartidas.
Last contact,Último contacto
"Letters, digits, hyphen or underscore. It cannot be reused after sales.","Letras, números, guion o guion bajo. No se puede reutilizar después de tener ventas."
Load more cajas,Cargar más cajas
Loading cajas…,Cargando cajas…
Loading caja…,Cargando caja…
Mapping must be an object.,El mapeo debe ser un objeto.
Name employees recognize,Nombre que reconocen los empleados
Never observed,Nunca observado
New cajas start as drafts. Connect a device and activate it when every requirement is met.,Las cajas nuevas empiezan como borrador. Conecta un dispositivo y actívala cuando cumpla todos los requisitos.
New store,Nueva tienda
No cajas match this filter,Ninguna caja coincide con este filtro
No connection. The action was not confirmed; retry when back online.,Sin conexión. La acción no se confirmó; reintenta cuando vuelva la conexión.
No contact,Sin contacto
No device is connected yet. Connect one instead.,Aún no hay un dispositivo conectado. Conecta uno.
No stores are set up for you,No tienes tiendas configuradas
No stores yet,Aún no hay tiendas
None,Ninguna
Not connected,No conectado
Only a connected device may open this caja,Solo un dispositivo conectado puede abrir esta caja
Only an administrator can delete an unused draft register.,Solo un administrador puede eliminar una caja en borrador sin uso.
Only an administrator can grant company-wide access.,Solo un administrador puede otorgar acceso a toda la empresa.
Only an administrator can grant this capability.,Solo un administrador puede otorgar este permiso.
Only an administrator can run the register migration.,Solo un administrador puede ejecutar la migración de cajas.
Open by,Abierta por
Open register shifts through the Cajas workspace.,Abre los turnos de caja desde Cajas y turnos.
Open shift here,Abrir turno aquí
Open since,Abierta desde
Open with a POS profile instead,Abrir con un perfil POS
Open — device recovery pending,Abierta — recuperación de dispositivo pendiente
Open — your shift,Abierta — tu turno
Previous-device sales need supervisor review before closing.,Las ventas del dispositivo anterior necesitan revisión del supervisor antes del cierre.
Reactivate the store before adding cajas.,Reactiva la tienda antes de agregar cajas.
Register history cannot be deleted.,El historial de cajas no se puede eliminar.
"Registers with history are retired, not deleted.","Las cajas con historial se retiran, no se eliminan."
Reload caja,Recargar caja
Replace device,Reemplazar dispositivo
Replace this caja's device,Reemplazar el dispositivo de esta caja
Replacement code for,Código de reemplazo para
Resume my sale,Continuar mi venta
Retire,Retirar
Retire every caja of this store first.,Primero retira todas las cajas de esta tienda.
Retire this caja,Retirar esta caja
Retired,Retirada
Retired cajas cannot be reconfigured.,Las cajas retiradas no se pueden reconfigurar.
Retired cajas cannot connect devices.,Las cajas retiradas no pueden conectar dispositivos.
Review shift recovery,Revisar recuperación del turno
Review shifts,Revisar turnos
Revoke this grant and create a new one instead of changing its scope.,Revoca este permiso y crea uno nuevo en lugar de cambiar su alcance.
Save as draft,Guardar como borrador
Save changes,Guardar cambios
Setup,Configuración
Setup in progress,Configuración en curso
Setup incomplete,Configuración incompleta
"Shifts keep working as before. An administrator creates a store and its cajas, then grants access.",Los turnos siguen funcionando como antes. Un administrador crea la tienda y sus cajas y luego otorga acceso.
Short code,Código corto
Show all cajas,Mostrar todas las cajas
Sign in to continue.,Inicia sesión para continuar.
Store,Tienda
Store and register code cannot change after financial activity.,La tienda y el código de caja no pueden cambiar después de tener movimientos.
Store name,Nombre de la tienda
"Stores with registers or activity are retired, not deleted.","Las tiendas con cajas o actividad se retiran, no se eliminan."
Suspend,Suspender
Suspend this caja,Suspender esta caja
"Suspend, reactivate or retire the store from the Cajas workspace.","Suspende, reactiva o retira la tienda desde Cajas y turnos."
Suspended,Suspendida
The POS Profile belongs to another company.,El perfil POS pertenece a otra empresa.
The POS Profile must belong to the store company.,El perfil POS debe pertenecer a la empresa de la tienda.
The action could not be completed.,No se pudo completar la acción.
The caja already has another open shift; this closing cannot be cancelled.,La caja ya tiene otro turno abierto; este cierre no se puede cancelar.
The caja code cannot change after financial activity.,El código de la caja no puede cambiar después de tener movimientos.
The caja could not be opened.,No se pudo abrir la caja.
The cashier already has another open shift; this closing cannot be cancelled.,El cajero ya tiene otro turno abierto; este cierre no se puede cancelar.
The default safe belongs to another company.,La caja fuerte predeterminada pertenece a otra empresa.
The drawer account must be an active cash ledger in the company currency,La cuenta del cajón debe ser una cuenta de efectivo activa en la moneda de la empresa
The drawer account must be an active cash ledger in the company currency.,La cuenta del cajón debe ser una cuenta de efectivo activa en la moneda de la empresa.
"The drawer account must be an active, non-group cash ledger in the company currency.","La cuenta del cajón debe ser una cuenta de efectivo activa, no de grupo, en la moneda de la empresa."
The drawer account still holds an unexplained balance,la cuenta del cajón aún tiene un saldo sin explicar
The drawer route differs from the legacy route. A supervisor must approve the change.,La cuenta del cajón difiere de la cuenta anterior. Un supervisor debe aprobar el cambio.
The grant must end after it starts.,El permiso debe terminar después de empezar.
The linked storefront branch does not exist on this site.,La sucursal de tienda en línea vinculada no existe en este sitio.
The original request is still being verified. Retry shortly.,La solicitud original aún se está verificando. Reintenta en un momento.
The payment and its caja belong to different companies.,El pago y su caja pertenecen a empresas distintas.
The previous device may still hold unsynced sales; they will stay with this shift for review.,El dispositivo anterior puede tener ventas sin sincronizar; se quedarán con este turno para revisión.
The sale and its caja belong to different companies.,La venta y su caja pertenecen a empresas distintas.
The store is not active.,La tienda no está activa.
"The store, caja and drawer route of a shift cannot be changed.","La tienda, la caja y la cuenta del cajón de un turno no se pueden cambiar."
This POS Profile is now opened through its caja. Update POS (reload) and choose your caja.,Este perfil POS ahora se abre desde su caja. Actualiza POS (recarga) y elige tu caja.
This browser is already connected to a caja. Disconnect it there first.,Este navegador ya está conectado a una caja. Primero desconéctalo de ahí.
This browser is not the connected device for this caja. Ask a supervisor to connect or replace it.,Este navegador no es el dispositivo conectado de esta caja. Pide a un supervisor que lo conecte o reemplace.
This browser needs its device identity. Reload POS and retry.,Este navegador necesita su identidad de dispositivo. Recarga POS y reintenta.
This caja already has a connected device. Use device replacement.,Esta caja ya tiene un dispositivo conectado. Usa el reemplazo de dispositivo.
This caja cannot be retired yet: {0},Esta caja aún no se puede retirar: {0}
This caja has an open shift. The routing change applies at its next opening.,Esta caja tiene un turno abierto. El cambio de cuenta aplica en su próxima apertura.
This caja is already open by another cashier.,Esta caja ya está abierta por otro cajero.
This caja is busy right now. Retry in a moment.,Esta caja está ocupada en este momento. Reintenta en un momento.
This caja is cashless and cannot accept or pay out cash. Use another payment method or a cash caja.,Esta caja es sin efectivo y no puede recibir ni entregar efectivo. Usa otra forma de pago o una caja con efectivo.
This caja is cashless; it has no drawer for cash movements.,Esta caja es sin efectivo; no tiene cajón para movimientos de efectivo.
This caja is not ready to open.,Esta caja no está lista para abrir.
This caja is not ready: {0},Esta caja no está lista: {0}
This caja is open. Drawer and profile changes apply at its next opening; the current shift keeps its route.,Esta caja está abierta. Los cambios de cajón y perfil aplican en su próxima apertura; el turno actual conserva su cuenta.
This caja's cash movements always use its own drawer account.,Los movimientos de efectivo de esta caja siempre usan su propia cuenta de cajón.
"This cash account is already used by another drawer, safe or payment method ({0}). Each caja needs its own drawer account.","Esta cuenta de efectivo ya la usa otro cajón, caja fuerte o forma de pago ({0}). Cada caja necesita su propia cuenta de cajón."
This connection code expired or was already used. Ask for a new one.,Este código de conexión venció o ya se usó. Pide uno nuevo.
This connection code is not valid. Ask for a new one.,Este código de conexión no es válido. Pide uno nuevo.
This device,Este dispositivo
This device is not connected to this caja,Este dispositivo no está conectado a esta caja
This device will become the caja's device.,Este dispositivo será el dispositivo de la caja.
This device will replace the caja's previous device.,Este dispositivo reemplazará al dispositivo anterior de la caja.
This field is maintained by register actions.,Este campo lo mantienen las acciones de caja.
